Region,Anzsic_descriptor,Sub_industry,Household_category,Gas,Year,Data_value,Units,Magnitude
Hawke's Bay,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2008,45.49,Kilotonnes,Carbon dioxide equivalents
Hawke's Bay,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2009,41.28,Kilotonnes,Carbon dioxide equivalents
Hawke's Bay,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2010,45.42,Kilotonnes,Carbon dioxide equivalents
Hawke's Bay,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2011,38.01,Kilotonnes,Carbon dioxide equivalents
Hawke's Bay,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2012,38.97,Kilotonnes,Carbon dioxide equivalents
Hawke's Bay,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2013,43.21,Kilotonnes,Carbon dioxide equivalents
Hawke's Bay,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2014,45.28,Kilotonnes,Carbon dioxide equivalents
Hawke's Bay,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2015,44.96,Kilotonnes,Carbon dioxide equivalents
Hawke's Bay,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2016,46.33,Kilotonnes,Carbon dioxide equivalents
Hawke's Bay,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2017,38.27,Kilotonnes,Carbon dioxide equivalents
Hawke's Bay,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2018,39.29,Kilotonnes,Carbon dioxide equivalents
Hawke's Bay,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2019,38.51,Kilotonnes,Carbon dioxide equivalents
Hawke's Bay,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2020,40.49,Kilotonnes,Carbon dioxide equivalents
Hawke's Bay,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2021,56.58,Kilotonnes,Carbon dioxide equivalents
Hawke's Bay,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2022,43.05,Kilotonnes,Carbon dioxide equivalents
Hawke's Bay,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2023,39.38,Kilotonnes,Carbon dioxide equivalents
Manawatu-Whanganui,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2007,29.84,Kilotonnes,Carbon dioxide equivalents
Manawatu-Whanganui,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2008,32.07,Kilotonnes,Carbon dioxide equivalents
Manawatu-Whanganui,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2009,29.68,Kilotonnes,Carbon dioxide equivalents
Manawatu-Whanganui,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2010,39.8,Kilotonnes,Carbon dioxide equivalents
Manawatu-Whanganui,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2011,42.79,Kilotonnes,Carbon dioxide equivalents
Manawatu-Whanganui,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2012,45.08,Kilotonnes,Carbon dioxide equivalents
Manawatu-Whanganui,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2013,53.74,Kilotonnes,Carbon dioxide equivalents
Manawatu-Whanganui,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2014,39.71,Kilotonnes,Carbon dioxide equivalents
Manawatu-Whanganui,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2015,51.79,Kilotonnes,Carbon dioxide equivalents
